Address,Address - Zip Code,# of Garage Spaces,Bathrooms - Full,Bathrooms - Half,Bedrooms,HOA Dues,Listing Price,Price_Per_SQFT_LISTING,Lot Size - Sq Ft,Listing Date,Pending Date,Pool,Selling Date,Selling Price,Selling_Price_Per_Sqft,Square Footage,Year Built
"507 Sacramento St Lodi, CA 95240",95240,0,1,1,2,0,70000,90.44,3920,6/18/2010,10/18/2010,NONO,10/20/2010,68000,87.85529716,774,1948
"1624 W Lockeford St Lodi, CA 95242-2550",95242,0,1,0,3,0,105950,94.6,5663,6/18/2010,4/11/2011,NONO,5/25/2011,100500,89.73214286,1120,1961
"226 W Lambert Ct Lodi, CA 95240-6213",95240,2,2,0,3,0,61900,62.21,3049,6/4/2010,6/14/2010,NONO,9/8/2010,61000,61.30653266,995,1976
"1601 Sutter Ln Lodi, CA 95240-6269",95240,2,2,0,3,0,149900,142.36,7841,6/5/2010,6/17/2010,NONO,7/29/2010,149900,142.3551757,1053,1982
"1619 Mariposa Way Lodi, CA 95242-2534",95242,2,1,0,3,0,130000,122.18,6970,6/7/2010,9/22/2011,NONO,11/2/2011,135000,126.8796992,1064,1954
"212 Maple St Lodi, CA 95240-4843",95240,0,2,1,3,0,89000,105.95,5227,6/9/2010,7/23/2010,NONO,8/10/2010,79000,94.04761905,840,1925
"204 Hilborn St Lodi, CA 95240-4118",95240,2,1,0,2,0,87900,97.67,4792,6/9/2010,7/23/2010,NONO,10/22/2010,83900,93.22222222,900,1918
"1232 Glenhurst Dr Lodi, CA 95240-5524",95240,2,2,0,3,0,179000,148.42,4792,6/9/2010,7/18/2010,NONO,9/14/2010,179400,148.7562189,1206,1965
"625 N Church St #4 Lodi, CA 95240-1288",95240,0,1,0,2,125,69900,77.93,0,6/28/2010,8/2/2010,NONO,8/18/2010,69900,77.9264214,897,1985
"500 N Sunset Dr Lodi, CA 95240-1630",95240,2,2,0,3,0,99500,80.44,6098,6/28/2010,1/12/2011,NONO,6/16/2011,100000,80.84074373,1237,1956
"728 James St Lodi, CA 95242-2207",95242,1,1,0,2,0,125000,109.65,7405,6/30/2010,12/1/2010,NONO,12/2/2010,125000,109.6491228,1140,1950
"1440 Lexington Dr Lodi, CA 95242-4783",95242,3,3,0,4,0,425000,175.62,7841,6/30/2010,2/24/2011,NONO,4/1/2011,430000,177.6859504,2420,2010
"2529 Winchester St Lodi, CA 95240-7100",95240,2,2,1,3,0,169900,115.81,2614,6/29/2010,10/4/2010,NONO,11/17/2010,140994,96.11042945,1467,2006
"1340 Pippen Ln Lodi, CA 95242-3920",95242,2,2,1,3,100,199000,134.37,3920,7/1/2010,7/21/2010,YESY,9/24/2010,199000,134.3686698,1481,2003
"720 W Vine St Lodi, CA 95240-5226",95240,2,1,1,3,0,154900,115.34,6970,7/2/2010,8/27/2010,NONO,10/19/2010,154900,115.3387937,1343,1956
"776 Eureka Ave Lodi, CA 95240-0906",95240,2,2,0,3,0,209950,129.52,6534,7/3/2010,8/11/2010,NONO,8/27/2010,205000,126.465145,1621,1984
"1112 Lakehome Dr Lodi, CA 95242-2336",95242,2,2,0,3,0,198000,149.77,6534,7/5/2010,7/14/2010,NONO,10/7/2010,190000,143.7216339,1322,1962
"2410 Wyndham Way Lodi, CA 95242-4762",95242,3,2,0,3,0,265000,167.19,6098,7/5/2010,9/10/2010,NONO,9/29/2010,252500,159.3059937,1585,2002
"601 S Mills Ave Lodi, CA 95242-3431",95242,2,2,0,3,0,279950,148.99,9148,6/16/2010,7/12/2010,NONO,8/24/2010,270000,143.693454,1879,1967
"1103 Brandywine Dr Lodi, CA 95240-7402",95240,2,2,0,3,0,90000,80.65,3485,6/17/2010,8/20/2010,NONO,8/30/2010,98500,88.26164875,1116,1982
